Date,AGG,CL=F,DX-Y.NYB,GC=F,SI=F,^DJI,^DJT,^GSPC,^IRX,^IXIC,^N225,^RUT,^STOXX50E,^TNX,^VIX
2010-01-27 00:00:00+00:00,70.37582397460938,73.66999816894531,78.68000030517578,1084.4000244140625,16.42799949645996,10236.16015625,4034.389892578125,1097.5,0.07000000029802322,2221.409912109375,10252.080078125,618.3800048828125,2787.39990234375,3.6440000534057617,23.139999389648438
2010-01-28 00:00:00+00:00,70.31513214111328,73.63999938964844,78.9000015258789,1083.5999755859375,16.20199966430664,10120.4599609375,3940.25,1084.530029296875,0.07000000029802322,2179.0,10414.2900390625,607.9299926757812,2737.330078125,3.6579999923706055,23.729999542236328
2010-01-29 00:00:00+00:00,70.4768295288086,72.88999938964844,79.45999908447266,1083.0,16.183000564575195,10067.330078125,3895.530029296875,1073.8699951171875,0.07000000029802322,2147.35009765625,10198.0400390625,602.0399780273438,2776.830078125,3.6089999675750732,24.6200008392334
2010-02-01 00:00:00+00:00,70.38018798828125,74.43000030517578,79.23999786376953,1104.300048828125,16.652999877929688,10185.5302734375,3962.239990234375,1089.18994140625,0.08500000089406967,2171.199951171875,10205.01953125,609.25,2793.2900390625,3.6540000438690186,22.59000015258789
2010-02-02 00:00:00+00:00,70.46123504638672,77.2300033569336,79.01000213623047,1117.4000244140625,16.736000061035156,10296.849609375,3993.1201171875,1103.3199462890625,0.09000000357627869,2190.06005859375,10371.08984375,614.0499877929688,2830.010009765625,3.634999990463257,21.479999542236328
2010-02-03 00:00:00+00:00,70.3328628540039,76.9800033569336,79.37000274658203,1111.4000244140625,16.309999465942383,10270.5498046875,3937.81005859375,1097.280029296875,0.09000000357627869,2190.909912109375,10404.330078125,610.6599731445312,2804.610107421875,3.703000068664551,21.600000381469727
2010-02-04 00:00:00+00:00,70.5018310546875,73.13999938964844,79.91999816894531,1062.4000244140625,15.343000411987305,10002.1796875,3813.909912109375,1063.1099853515625,0.08500000089406967,2125.429931640625,10355.98046875,589.6799926757812,2707.449951171875,3.609999895095825,26.079999923706055
2010-02-05 00:00:00+00:00,70.52883911132812,71.19000244140625,80.44000244140625,1052.199951171875,14.822999954223633,10012.23046875,3822.199951171875,1066.18994140625,0.08500000089406967,2141.1201171875,10057.08984375,592.97998046875,2631.639892578125,3.5460000038146973,26.110000610351562
2010-02-08 00:00:00+00:00,70.66394805908203,71.88999938964844,80.30000305175781,1065.699951171875,15.07800006866455,9908.3896484375,3792.889892578125,1056.739990234375,0.09000000357627869,2126.050048828125,9951.8203125,586.489990234375,2664.2900390625,3.5920000076293945,26.510000228881836
2010-02-09 00:00:00+00:00,70.53556823730469,73.75,79.86000061035156,1076.699951171875,15.430999755859375,10058.6396484375,3869.8798828125,1070.52001953125,0.10000000149011612,2150.8701171875,9932.900390625,595.1699829101562,2668.429931640625,3.632999897003174,26.0
