Date,return_1d,cumulative_return_1d,volatility_1d,skewness_1d,kurtosis_1d,sma_1d,ema_1d,rsi_1d,upper_band_1d,lower_band_1d,stoch_osc_1d,vwap_1d,sharpe_ratio_1d,return_5d,cumulative_return_5d,volatility_5d,skewness_5d,kurtosis_5d,sma_5d,ema_5d,rsi_5d,upper_band_5d,lower_band_5d,stoch_osc_5d,vwap_5d,sharpe_ratio_5d,return_22d,cumulative_return_22d,volatility_22d,skewness_22d,kurtosis_22d,sma_22d,ema_22d,rsi_22d,upper_band_22d,lower_band_22d,stoch_osc_22d,vwap_22d,sharpe_ratio_22d,macd
2008-04-21 00:00:00+00:00,0.05862195203761855,0.05862195203761855,0.00048515630972383137,0.0,-2.0,15.801803588867188,15.801803588867188,99.9999999772016,16.202802563282496,14.962177371409886,-75.33547723994576,16.756048270804857,59.55526869938293,0.08054158183527949,0.08054158183527949,0.021165479618591863,-1.1963844336003824,-0.24759977030737002,15.029192924499512,15.219997289501698,91.05417112486812,16.170490890019863,13.88789495897916,-9.326889935661764,16.4879211461851,0.7461302579466977,0.25610617359796883,0.25610617359796883,0.04097743431981578,1.102653133131949,2.8397604899317104,14.447762272574685,14.415462449952216,73.00005933447187,15.590303088126788,13.305221457022583,38.048095703125,15.511622277413386,0.2730982132048304,0.0647184094052905
2008-04-22 00:00:00+00:00,0.018550655149291773,0.018550655149291773,0.02706301384671864,0.0,-2.0,15.648173332214355,15.648173332214355,6.509135630494711e-08,15.942254453090065,15.507722467991478,-171.43294601108246,17.062616367410914,0.34785913029579035,0.09215204412352307,0.09215204412352285,0.01674597878207712,-1.042001485767401,-0.5307064005639468,15.293260765075683,15.362722637072585,74.8300353728009,16.21257274125471,14.373948788896655,-24.777123738363734,16.67428143393184,1.0687757354126177,0.09215204412352307,0.09215204412352263,0.029580829559855953,-0.29745681089866755,0.5558083512505188,14.507777690887451,14.522654700583708,69.45930317350806,15.757593730516692,13.25796165125821,26.612543176721644,15.67502461351754,0.14987944880452722,0.07224850173210151
2008-04-23 00:00:00+00:00,-0.01254047221527499,-0.0125404722152751,0.004862425536617152,0.0,-2.0,15.603641510009766,15.603641510009766,2.2455853354585997e-07,15.688884928030978,15.562929914193143,-268.4663785701215,17.039087760993535,-1.2923735352198287,0.05957051968004623,0.05957051968004645,0.017787557497535425,-0.14759057320644184,-1.6535459749598609,15.468712425231933,15.443028928051646,69.44961120530493,16.151503848574993,14.785921001888871,-55.399649917651885,16.792082450341194,0.6614313514270175,0.17327989361775353,0.1732798936177533,0.024301285894442234,0.5682474872473523,-0.4278324664352473,14.61252667687156,14.616653553577278,68.40596211282045,15.823546633733732,13.401506720009388,20.461879201657286,15.828371797545962,0.31140834504931997,0.06581928048073149
2008-04-24 00:00:00+00:00,0.028742467455036058,0.028742467455036058,0.024412331624208035,0.0,-2.0,16.09794044494629,16.09794044494629,99.99999997976933,16.549835235131834,15.151746719824219,-160.55297003493342,17.135963669387266,0.590533892764761,0.07846126815679932,0.07846126815679932,0.01995881344112756,-0.44277544262485824,-1.730002620287623,15.702947044372559,15.661332767016528,86.09548984590005,16.245255332319786,15.160638756425332,-48.501463288650655,16.9104650255904,0.7705620707462393,0.143083032538891,0.143083032538891,0.022158347284168673,0.37711423518358705,-0.5827792667578366,14.704118771986527,14.745461109348497,73.3239539072568,16.045112958985584,13.363124584987473,32.190548392968076,15.96157442550384,0.28561743854537935,0.08521456697694141
2008-04-25 00:00:00+00:00,0.07163258565602737,0.07163258565602737,0.004984321841405902,0.0,-2.0,16.721370697021484,16.721370697021484,99.99999998395971,17.291319088662306,15.527992053305468,-52.227113398806324,17.857938550052303,7.062722543876699,0.08840582966850907,0.08840582966850885,0.021957358036713184,-0.35760787906112035,-1.7009511155116117,15.974585914611817,16.014678743684847,93.15322610250938,16.89485897666208,15.054312852561555,-27.17171194880816,17.444286235049564,0.7868722752098549,0.17417148303268126,0.17417148303268148,0.023199086435621137,0.295268861180809,-0.8819544952872564,14.81686310334639,14.91727933436354,78.04486226830949,16.39142682067328,13.2422993860195,41.69613965710299,16.207747505276853,0.3266902437448614,0.12782605940837388
2008-04-28 00:00:00+00:00,0.04605781759314653,0.04605781759314653,0.022394176576219768,0.0,-2.0,16.83937644958496,16.83937644958496,99.99999991525837,16.947258909016536,16.61348823758991,-193.8610410746169,18.199069574558155,1.022241465983796,0.06566167304147319,0.06566167304147297,0.02129253506774488,0.22409565525131264,-1.6448676733675924,16.18210048675537,16.289577978984887,94.01567168769886,17.34382332709431,15.020377646416433,-30.690751465396172,17.826159438982604,0.6095545305398044,0.2021934111199053,0.20219341111990485,0.022574327240520158,0.23375763571174352,-0.7605318248591844,14.945597908713601,15.084418213948013,78.82185313435797,16.696053207014963,13.195142610412242,41.50473860449024,16.496016726286687,0.3829966787222641,0.15020890286094601
2008-04-29 00:00:00+00:00,0.07696376357477197,0.07696376357477197,0.044094835067168714,0.0,-2.0,18.008310317993164,18.008310317993164,99.9999999914452,19.07696551400919,15.770721253568935,10.457910518297037,18.513264760520727,0.8671523231619487,0.15082507943084167,0.15082507943084167,0.02841989096846295,0.3162492691358977,-1.1044643100694498,16.654127883911134,16.862488758654315,97.91606346069335,18.466726786258327,14.84152898156394,20.94048183160098,18.22012631313472,1.0136127964433992,0.2887186862783826,0.2887186862783817,0.0258555406532693,0.40246921976745764,-0.48626873602561504,15.128984277898615,15.338669701256288,84.69732164130224,17.257361965870878,13.000606589926353,56.99194091724479,16.861670509664414,0.46062019483402444,0.22546489610769938
2008-04-30 00:00:00+00:00,0.10339820786407206,0.10339820786407206,0.026616171332554537,0.0,-2.0,18.580537796020508,18.580537796020508,99.99999998252443,19.10367591719566,17.485172196818013,24.0561315813898,19.240198824535913,1.9009578683797614,0.19078215069867244,0.19078215069867221,0.02234926877559705,0.3642267538488367,-0.539748433092619,17.24950714111328,17.435171771109715,98.59059120563398,19.279449507038517,15.219564775188044,28.992222354802564,18.724630764216908,1.598758229474682,0.3381977446171025,0.3381977446171023,0.025850234513546698,0.23578120126879107,-0.5723476891258077,15.342429291118275,15.620571274714047,86.67878359621943,17.85507386000414,12.82978472223241,57.19245711228618,17.226062985138906,0.5277957052845841,0.2913214238774192
2008-05-01 00:00:00+00:00,0.05588515688275897,0.055885156882758746,0.0059459437432065766,0.0,-2.0,19.014707565307617,19.014707565307617,99.99999997696753,19.41163145676229,18.183613904565835,-76.2735109035317,20.288670087126302,4.636997780615917,0.1811888378104296,0.1811888378104296,0.02302494123046696,0.5340150438798746,-0.6571026199810692,17.83286056518555,17.961683702509017,98.97001742030157,19.88444205368384,15.781279076687255,30.401625281173462,19.123032237738958,1.479646454004545,0.3861379296632381,0.3861379296632379,0.02527144292118885,0.11046229655078398,-0.4484887261859174,15.583199631084096,15.915713560852618,87.9729142076574,18.435633485148053,12.730765777020139,57.32804204544241,17.598496785830427,0.6035445779378866,0.33835973987850054
2008-05-02 00:00:00+00:00,-0.008388498219945029,-0.008388498219945029,0.03846465512915599,0.0,-2.0,18.42467498779297,18.42467498779297,1.694822060471779e-08,19.554123349913464,17.885259203187122,-109.95934819226996,20.390221447305006,-0.09961632738994217,0.10186391544294193,0.10186391544294193,0.03661815145521399,-0.08308409111636607,-0.7755390733521144,18.173521423339842,18.116014130937003,63.90193380937942,19.829894595765534,16.51714825091415,16.218149339901462,19.467240869120765,0.5493789449454635,0.32782355097248583,0.32782355097248517,0.027130587258574812,0.06673925003395052,-0.66922382782026,15.789964589205654,16.133884119717,76.85929358872083,18.779927997133477,12.80000118127783,46.00581098662374,17.90696890179206,0.49089047966804006,0.30500394772065553
